episode,total_reward,win,epsilon,steps
1639,-0.67,0,0.749,12
1640,-0.92,0,0.749,32
1641,0.77,0,0.749,23
1642,-0.8,0,0.748,55
1643,0.91,1,0.748,4
1644,0.8,0,0.748,16
1645,-0.73,0,0.748,37
1646,-0.55,0,0.748,18
1647,-0.64,0,0.748,11
1648,-0.67,0,0.748,8
1649,0.87,1,0.747,22
1650,-1.27,0,0.747,61
1651,-0.51,0,0.747,9
1652,-0.63,0,0.747,14
1653,-0.86,0,0.746,35
1654,-0.97,0,0.746,66
1655,-0.63,0,0.746,9
1656,-0.91,0,0.746,28
1657,-0.67,0,0.745,17
1658,-0.85,0,0.745,18
1659,-0.62,0,0.745,14
1660,-0.56,0,0.745,11
1661,-0.96,0,0.745,41
1662,0.58,0,0.745,32
1663,0.95,1,0.745,10
1664,-0.52,0,0.744,10
1665,-0.5,0,0.744,8
1666,0.66,0,0.744,32
1667,-0.7,0,0.744,26
1668,0.95,1,0.744,8
1669,-0.61,0,0.744,4
1670,-0.79,0,0.744,25
1671,-0.89,0,0.743,33
1672,-0.67,0,0.743,14
1673,-0.48,0,0.743,4
1674,-0.61,0,0.743,10
1675,-0.64,0,0.743,20
1676,0.72,0,0.743,12
1677,-0.82,0,0.743,18
1678,-0.56,0,0.743,10
1679,-0.73,0,0.743,17
1680,-0.89,0,0.742,27
1681,-0.64,0,0.742,16
1682,-0.57,0,0.742,13
1683,0.67,0,0.742,30
1684,0.67,0,0.742,21
1685,-0.71,0,0.742,14
1686,-0.67,0,0.742,6
1687,-0.57,0,0.741,6
1688,-0.68,0,0.741,14
1689,-0.69,0,0.741,22
1690,-0.73,0,0.741,14
1691,-0.62,0,0.741,21
1692,-0.7,0,0.741,16
1693,-0.71,0,0.741,16
1694,-0.57,0,0.741,12
1695,-0.85,0,0.74,29
1696,0.81,1,0.74,12
1697,0.87,1,0.74,17
1698,-1.21,0,0.74,74
1699,-0.59,0,0.739,20
1700,-0.61,0,0.739,7
1701,-0.62,0,0.739,17
1702,-0.81,0,0.739,32
1703,-0.75,0,0.739,17
1704,-0.71,0,0.739,17
1705,-0.76,0,0.738,33
1706,-0.74,0,0.738,17
1707,0.86,1,0.738,19
1708,0.74,0,0.738,15
1709,-0.56,0,0.738,10
1710,-0.64,0,0.738,9
1711,-0.65,0,0.738,20
1712,-0.59,0,0.737,32
1713,0.51,0,0.737,25
1714,-0.55,0,0.737,9
1715,-0.61,0,0.737,15
1716,-0.7,0,0.737,20
1717,-0.65,0,0.737,11
1718,0.9,1,0.737,3
1719,-0.78,0,0.737,18
1720,-0.65,0,0.736,24
1721,-0.7,0,0.736,15
1722,-0.62,0,0.736,14
1723,-0.62,0,0.736,25
1724,-0.51,0,0.736,10
1725,-0.84,0,0.736,43
1726,-0.7,0,0.735,12
1727,-0.65,0,0.735,15
1728,-0.69,0,0.735,27
1729,-0.59,0,0.735,4
1730,0.63,0,0.735,43
1731,0.74,0,0.735,23
1732,-0.55,0,0.734,16
1733,-0.67,0,0.734,21
1734,-1.01,0,0.734,49
1735,-0.66,0,0.734,13
1736,-0.5,0,0.734,3
1737,-0.69,0,0.734,18
1738,-0.55,0,0.734,11
1739,-0.65,0,0.733,11
1740,-0.59,0,0.733,16
1,-0.76,0,1.0,15
2,-0.73,0,1.0,18
3,-0.69,0,1.0,18
4,0.56,0,0.999,30
5,-0.87,0,0.999,16
6,-0.63,0,0.999,14
1741,-0.83,0,0.733,25
7,-0.7,0,0.999,22
8,-0.9,0,0.999,16
9,-0.57,0,0.999,13
10,-0.64,0,0.999,13
11,-0.57,0,0.999,11
1742,-0.79,0,0.733,18
12,0.69,0,0.998,25
13,-0.63,0,0.998,14
1743,-0.64,0,0.733,11
14,0.2,0,0.998,61
15,-0.77,0,0.998,26
16,0.91,1,0.997,4
17,-0.78,0,0.997,19
1744,-0.62,0,0.733,16
18,-0.67,0,0.997,12
19,-0.8,0,0.997,18
20,-0.61,0,0.997,13
21,-0.69,0,0.997,19
22,-1.39,0,0.996,79
23,-0.9,0,0.996,20
1745,-0.81,0,0.733,24
24,-1.21,0,0.996,50
25,-0.63,0,0.996,18
26,-0.69,0,0.995,10
27,-0.79,0,0.995,22
28,-0.74,0,0.995,16
29,-0.7,0,0.995,22
