episode,total_reward,win,epsilon,steps
3090,-0.92,0,0.344,45
3091,0.47,0,0.343,51
3092,0.48,0,0.343,40
3093,0.85,1,0.343,33
3094,0.85,1,0.343,37
3095,-0.49,0,0.342,19
3096,-0.61,0,0.342,27
3097,-0.72,0,0.342,27
3098,0.81,1,0.342,38
3099,-0.94,0,0.341,48
3100,-1.06,0,0.341,42
3101,-0.72,0,0.341,27
3102,-0.62,0,0.341,23
3103,-0.59,0,0.34,6
3104,0.8,0,0.34,29
3105,-0.57,0,0.34,14
3106,0.82,1,0.34,20
3107,-0.77,0,0.34,44
3108,0.67,0,0.339,45
3109,-0.49,0,0.339,3
3110,0.96,1,0.339,11
3111,-0.56,0,0.339,27
3112,-0.63,0,0.339,19
3113,0.84,1,0.339,31
3114,0.97,1,0.338,21
3115,0.79,0,0.338,36
3116,-0.61,0,0.338,20
3117,0.85,1,0.338,20
3118,-0.63,0,0.338,25
3119,-0.51,0,0.338,4
3120,-0.5,0,0.337,14
3121,-0.67,0,0.337,23
3122,0.57,0,0.337,41
3123,-0.82,0,0.337,17
3124,-0.69,0,0.337,16
3125,0.52,0,0.336,65
3126,-0.51,0,0.336,4
3127,0.79,0,0.336,35
3128,0.92,1,0.336,38
3129,-0.56,0,0.336,5
3130,-0.87,0,0.335,47
3131,-0.68,0,0.335,23
3132,-0.62,0,0.335,13
3133,-0.83,0,0.334,66
3134,0.84,1,0.334,23
3135,-0.53,0,0.334,9
3136,-0.76,0,0.334,41
3137,-0.89,0,0.333,49
3138,-0.52,0,0.333,11
3139,-0.62,0,0.333,30
3140,-0.56,0,0.333,28
3141,-0.79,0,0.332,56
3142,-0.85,0,0.332,42
3143,-0.53,0,0.332,19
3144,-0.58,0,0.332,17
3145,0.84,1,0.332,15
3146,-0.58,0,0.331,19
3147,-0.62,0,0.331,26
3148,-0.56,0,0.331,13
3149,-0.53,0,0.331,22
3150,-0.63,0,0.331,19
3151,-0.85,0,0.331,37
3152,-0.57,0,0.33,15
3153,-0.55,0,0.33,12
3154,0.96,1,0.33,10
3155,-0.83,0,0.33,51
3156,0.89,1,0.33,18
3157,0.86,1,0.329,31
3158,0.91,1,0.329,8
1,-0.66,0,1.0,22
2,-1.14,0,0.999,50
3,-0.91,0,0.999,35
4,-1.01,0,0.999,30
5,-0.52,0,0.999,5
6,-0.74,0,0.999,18
3159,0.7,0,0.329,29
7,-0.87,0,0.998,40
8,-1.02,0,0.998,29
9,-0.65,0,0.998,19
10,-0.99,0,0.998,39
11,-0.54,0,0.998,5
12,-0.6,0,0.998,4
13,-0.51,0,0.998,6
14,-0.66,0,0.997,19
15,-0.72,0,0.997,11
16,-0.89,0,0.997,34
17,-1.35,0,0.997,47
18,0.46,0,0.996,38
19,-0.89,0,0.996,9
20,0.94,1,0.996,14
21,-0.67,0,0.996,17
22,-0.79,0,0.996,28
23,-0.73,0,0.996,33
3160,0.5,0,0.329,60
24,-0.64,0,0.995,17
25,0.83,1,0.995,28
26,-0.64,0,0.995,19
27,-0.74,0,0.995,22
28,0.78,0,0.995,19
29,-0.82,0,0.995,29
30,-0.93,0,0.994,32
31,-0.8,0,0.994,22
3161,-0.81,0,0.328,38
32,-1.38,0,0.994,53
33,-0.64,0,0.994,5
34,-0.73,0,0.994,20
35,-0.6,0,0.993,13
36,-0.73,0,0.993,14
37,-0.64,0,0.993,13
38,-0.79,0,0.993,43
39,0.77,0,0.993,22
3162,-0.55,0,0.328,36
40,-0.75,0,0.993,19
41,-0.6,0,0.992,16
42,-0.81,0,0.992,25
43,-1.13,0,0.992,40
44,-0.66,0,0.992,10
45,-0.59,0,0.992,13
46,-0.76,0,0.992,15
3163,-0.72,0,0.328,28
47,-1.21,0,0.991,36
48,0.37,0,0.991,39
49,-0.72,0,0.991,20
50,-1.3,0,0.99,45
51,-0.63,0,0.99,11
52,-0.76,0,0.99,15
53,-0.81,0,0.99,22
3164,0.69,0,0.328,32
54,-0.66,0,0.99,15
55,-0.8,0,0.99,15
56,-0.89,0,0.99,32
57,-0.9,0,0.989,34
58,-0.9,0,0.989,39
59,-1.01,0,0.989,32
3165,-0.83,0,0.327,41
60,-0.95,0,0.989,26
61,0.21,0,0.988,51
62,-0.51,0,0.988,6
63,-0.63,0,0.988,8
64,-0.8,0,0.988,11
65,-1.05,0,0.988,43
66,-0.98,0,0.987,33
67,-0.89,0,0.987,15
68,-0.86,0,0.987,26
69,-0.66,0,0.987,24
70,0.58,0,0.987,44
71,-0.9,0,0.986,37
72,-0.53,0,0.986,7
73,-0.77,0,0.986,19
74,-0.82,0,0.986,31
75,-1.01,0,0.985,43
76,-0.73,0,0.985,24
77,-0.69,0,0.985,16
78,-0.95,0,0.985,33
79,-0.99,0,0.985,23
80,0.39,0,0.984,55
81,-0.64,0,0.984,15
82,-0.91,0,0.984,22
83,-0.69,0,0.984,11
84,-0.93,0,0.984,23
85,-0.9,0,0.983,27
86,-0.79,0,0.983,15
87,-1.18,0,0.983,35
88,-1.21,0,0.983,57
89,-0.63,0,0.982,13
90,-0.89,0,0.982,21
91,-1.01,0,0.982,53
92,-1.02,0,0.981,54
93,-0.51,0,0.981,4
94,-0.7,0,0.981,20
95,-0.68,0,0.981,14
96,-0.64,0,0.981,12
97,-0.68,0,0.981,10
98,-0.88,0,0.981,37
99,-0.82,0,0.98,28
100,-0.7,0,0.98,18
101,-1.1,0,0.98,59
102,-0.62,0,0.98,32
103,-0.85,0,0.979,27
104,-1.15,0,0.979,37
105,-0.82,0,0.979,18
106,-1.03,0,0.979,44
107,-0.75,0,0.978,28
108,-0.64,0,0.978,13
109,-0.7,0,0.978,25
110,-0.51,0,0.978,3
111,-0.69,0,0.978,12
112,0.65,0,0.978,38
113,-0.92,0,0.977,33
114,-1.4,0,0.977,65
115,-0.6,0,0.977,6
116,-2.0,0,0.976,127
117,-1.08,0,0.976,27
118,-0.65,0,0.976,10
119,-1.12,0,0.975,37
120,0.82,1,0.975,13
121,-0.78,0,0.975,21
122,0.37,0,0.975,54
123,-0.64,0,0.975,11
124,-0.61,0,0.974,16
125,-0.98,0,0.974,28
126,-0.75,0,0.974,19
127,-0.62,0,0.974,8
128,-0.65,0,0.974,16
129,-0.68,0,0.974,23
130,-1.07,0,0.973,29
131,-0.61,0,0.973,8
132,-0.85,0,0.973,33
133,-1.15,0,0.973,60
134,-0.52,0,0.973,11
135,-0.96,0,0.972,28
136,-0.65,0,0.972,11
137,-1.06,0,0.972,46
138,-0.95,0,0.972,31
139,-1.0,0,0.971,26
140,0.89,1,0.971,5
141,-0.75,0,0.971,17
142,-1.15,0,0.971,41
143,0.49,0,0.971,28
144,-0.57,0,0.971,8
145,0.82,1,0.97,14
146,-0.89,0,0.97,24
147,-0.74,0,0.97,23
148,-2.41,0,0.969,160
149,-0.73,0,0.969,13
150,-0.56,0,0.969,6
151,-1.16,0,0.968,39
152,-1.13,0,0.968,49
153,-0.85,0,0.968,23
154,-1.06,0,0.968,28
155,-1.16,0,0.967,36
156,-0.77,0,0.967,22
157,-1.19,0,0.967,53
158,-0.87,0,0.967,23
159,-0.94,0,0.966,38
160,-0.9,0,0.966,24
161,-0.67,0,0.966,16
162,0.66,0,0.966,20
163,-0.74,0,0.966,10
164,-2.01,0,0.965,128
165,-0.5,0,0.965,7
166,-0.64,0,0.965,14
167,-0.68,0,0.964,25
168,-1.07,0,0.964,34
169,-0.75,0,0.964,24
170,-0.85,0,0.964,31
171,-0.63,0,0.964,12
172,-0.71,0,0.963,7
173,-0.69,0,0.963,17
174,-0.56,0,0.963,12
175,-0.75,0,0.963,19
176,-1.19,0,0.963,38
177,-0.55,0,0.963,5
178,-0.84,0,0.963,23
179,-0.79,0,0.962,14
180,-0.84,0,0.962,29
181,-0.56,0,0.962,10
182,-0.59,0,0.962,15
183,-0.79,0,0.962,26
184,-0.55,0,0.962,4
185,-0.98,0,0.962,32
186,-0.58,0,0.961,7
187,-1.12,0,0.961,69
188,-0.9,0,0.961,17
189,-1.0,0,0.961,21
190,-1.01,0,0.96,24
3166,0.69,0,0.327,36
3167,-0.71,0,0.327,48
3168,-0.7,0,0.326,21
3169,-0.67,0,0.326,19
3170,0.95,1,0.326,9
3171,-0.59,0,0.326,11
3172,-0.93,0,0.326,62
3173,0.9,1,0.326,17
3174,-0.5,0,0.326,5
3175,-0.96,0,0.325,44
3176,0.86,1,0.325,23
3177,-0.5,0,0.325,6
3178,-0.64,0,0.325,32
3179,-0.54,0,0.325,14
3180,-0.73,0,0.324,41
3181,0.82,1,0.324,21
3182,0.89,1,0.324,29
3183,0.91,1,0.324,31
3184,0.87,1,0.323,24
3185,0.88,1,0.323,31
3186,-0.67,0,0.323,31
3187,0.51,0,0.323,48
3188,-0.61,0,0.322,12
3189,-0.56,0,0.322,12
3190,0.79,0,0.322,32
3191,-0.72,0,0.322,13
191,-0.66,0,0.96,19
3192,0.57,0,0.322,53
192,-1.24,0,0.96,60
193,-0.65,0,0.96,12
3193,-0.71,0,0.321,42
194,-0.83,0,0.96,23
3194,0.9,1,0.321,22
195,-1.17,0,0.959,42
3195,-0.87,0,0.321,54
196,-1.07,0,0.959,33
3196,-0.72,0,0.321,12
197,-0.88,0,0.959,22
3197,-0.6,0,0.32,14
198,-0.76,0,0.959,12
199,-0.58,0,0.959,5
3198,-0.55,0,0.32,10
200,-0.61,0,0.959,11
3199,0.87,1,0.32,21
201,-0.94,0,0.958,30
3200,-0.61,0,0.32,22
202,-0.73,0,0.958,22
203,-1.12,0,0.958,41
3201,0.5,0,0.32,60
3202,-0.52,0,0.319,9
204,-1.14,0,0.958,33
3203,0.97,1,0.319,10
205,-0.73,0,0.957,25
3204,-0.58,0,0.319,10
206,-0.67,0,0.957,19
3205,-0.65,0,0.319,17
207,0.94,1,0.957,3
208,-1.13,0,0.957,39
209,-0.67,0,0.957,11
3206,-0.86,0,0.319,47
210,0.79,0,0.957,20
3207,0.8,0,0.319,22
3208,0.74,0,0.318,35
3209,0.67,0,0.318,41
211,-0.08,0,0.956,102
212,-0.58,0,0.956,12
213,-0.63,0,0.955,33
214,-0.48,0,0.955,3
3210,0.29,0,0.317,70
215,0.72,0,0.955,28
216,-0.62,0,0.955,14
217,-0.74,0,0.955,14
3211,-0.64,0,0.317,33
218,0.79,0,0.955,19
219,0.78,0,0.955,18
220,-0.65,0,0.955,11
3212,0.71,0,0.317,47
221,-0.87,0,0.954,35
222,-0.69,0,0.954,18
3213,-0.83,0,0.316,48
223,-0.88,0,0.954,25
3214,-0.55,0,0.316,13
224,-0.76,0,0.954,23
3215,-0.67,0,0.316,17
225,-0.8,0,0.954,16
226,-0.56,0,0.954,11
3216,-0.82,0,0.316,28
227,-0.57,0,0.953,16
228,-0.95,0,0.953,32
3217,-0.75,0,0.316,40
229,-1.04,0,0.953,35
3218,-0.71,0,0.315,37
230,0.75,0,0.953,20
3219,-0.75,0,0.315,45
231,-1.15,0,0.952,43
232,-0.75,0,0.952,21
3220,-0.87,0,0.315,32
233,-0.84,0,0.952,23
234,-0.86,0,0.952,36
3221,-0.74,0,0.314,52
235,-0.73,0,0.952,16
3222,-0.76,0,0.314,41
236,-1.11,0,0.951,44
3223,0.91,1,0.314,18
237,-1.01,0,0.951,26
238,-0.98,0,0.951,33
3224,-0.8,0,0.314,41
239,-0.75,0,0.951,20
240,-0.62,0,0.951,11
3225,0.82,1,0.313,31
241,-0.74,0,0.95,20
242,-0.63,0,0.95,23
3226,0.76,0,0.313,46
243,-1.0,0,0.95,33
3227,-0.5,0,0.313,12
3228,0.95,1,0.313,10
244,-1.02,0,0.95,49
3229,0.81,1,0.313,35
245,-0.87,0,0.949,16
246,-0.83,0,0.949,20
247,-1.05,0,0.949,41
3230,0.61,0,0.312,63
248,-0.88,0,0.949,52
3231,0.71,0,0.312,42
249,0.85,1,0.949,13
250,-0.78,0,0.948,22
3232,0.79,0,0.311,43
3233,-0.49,0,0.311,7
251,-1.07,0,0.948,31
3234,-0.67,0,0.311,22
252,-0.79,0,0.948,47
253,-0.68,0,0.948,13
3235,0.79,0,0.311,27
254,-0.75,0,0.947,13
3236,-0.59,0,0.311,16
255,0.65,0,0.947,19
256,-0.82,0,0.947,31
3237,0.73,0,0.31,41
257,-0.79,0,0.947,35
3238,-0.57,0,0.31,26
258,-0.66,0,0.947,19
3239,-0.54,0,0.31,26
3240,-0.54,0,0.31,8
259,-0.87,0,0.946,42
3241,-0.53,0,0.31,17
260,-0.73,0,0.946,19
261,-0.78,0,0.946,15
262,-0.6,0,0.946,5
3242,-0.76,0,0.31,33
3243,-0.59,0,0.31,12
263,-0.84,0,0.946,25
264,-0.59,0,0.946,14
265,-0.83,0,0.946,14
266,-0.66,0,0.945,24
3244,-1.18,0,0.309,57
267,-0.8,0,0.945,29
3245,0.72,0,0.309,36
3246,-0.48,0,0.309,3
268,-0.66,0,0.945,33
3247,0.7,0,0.308,36
269,0.76,0,0.945,34
270,-0.72,0,0.945,17
3248,0.77,0,0.308,37
271,-1.42,0,0.944,68
272,-0.54,0,0.944,9
273,0.96,1,0.944,8
3249,0.61,0,0.308,59
274,-0.81,0,0.944,17
3250,-0.74,0,0.308,20
275,0.58,0,0.944,24
276,-0.8,0,0.943,24
