episode,total_reward,win,epsilon,steps
1796,-1051.06,0,0.53,11
83,1046.6,1,0.977,30
1797,-1050.2,0,0.53,5
1798,-1050.94,0,0.53,9
1799,-1051.58,0,0.53,23
1800,-1051.36,0,0.529,21
1801,-1051.03,0,0.529,18
84,-1066.6,0,0.975,115
1802,1047.37,1,0.529,33
85,-1050.74,0,0.975,9
1803,-1050.89,0,0.529,14
1804,-1.0,0,0.529,10
86,-1053.61,0,0.975,36
1805,-1051.74,0,0.528,19
87,-1051.42,0,0.975,12
88,-1050.52,0,0.975,7
89,-1051.61,0,0.975,11
90,-1054.83,0,0.974,38
91,-1051.57,0,0.974,17
92,-1050.44,0,0.974,4
1806,1041.42,1,0.527,88
93,-1052.85,0,0.974,25
1807,1047.93,1,0.527,22
94,-1052.89,0,0.973,29
95,-1052.58,0,0.973,23
1808,-1053.97,0,0.527,42
96,-1055.99,0,0.973,54
97,-1051.62,0,0.972,17
1809,1044.31,1,0.526,59
1810,-1050.43,0,0.526,8
98,-1052.16,0,0.972,26
99,-1054.7,0,0.972,45
1811,-1054.92,0,0.526,47
1812,-1051.21,0,0.525,11
100,-1051.66,0,0.972,16
101,-1051.41,0,0.971,11
102,-1051.04,0,0.971,14
103,-1051.35,0,0.971,15
1813,-1053.67,0,0.525,37
104,-1054.72,0,0.971,32
105,-1055.27,0,0.97,47
106,-1052.52,0,0.97,27
107,-1051.57,0,0.97,12
108,-1052.52,0,0.97,22
109,-1056.99,0,0.969,59
110,-1053.26,0,0.969,41
111,-1052.77,0,0.968,32
112,-1052.71,0,0.968,31
113,-1052.35,0,0.968,30
114,-1056.17,0,0.967,57
115,-1050.86,0,0.967,11
116,-1054.56,0,0.966,46
117,-1053.13,0,0.966,33
118,1047.09,1,0.966,31
119,-1053.83,0,0.965,28
120,-1052.89,0,0.965,24
121,-1050.19,0,0.965,4
122,-1050.72,0,0.965,7
123,-1053.11,0,0.965,21
124,1046.95,1,0.965,30
125,-1051.93,0,0.964,18
126,-1054.95,0,0.964,40
127,-1053.44,0,0.964,29
128,-1055.88,0,0.963,43
129,-1051.11,0,0.963,11
130,-1050.69,0,0.963,9
131,-1052.05,0,0.963,25
1814,-1057.78,0,0.525,33
132,-1057.7,0,0.962,60
1815,1045.08,1,0.524,42
133,-1054.23,0,0.962,38
134,-1052.16,0,0.961,16
1816,1048.19,1,0.524,21
1817,-1051.68,0,0.524,23
135,-1053.65,0,0.961,35
1818,-1051.81,0,0.524,21
1819,1048.97,1,0.523,13
1820,-1052.84,0,0.523,29
136,-1065.08,0,0.96,98
1821,-1052.03,0,0.523,23
137,-1051.01,0,0.96,11
1822,-1051.23,0,0.523,8
1823,-1053.2,0,0.522,35
1824,-1050.78,0,0.522,8
138,1039.61,1,0.959,54
139,-1050.85,0,0.959,10
1825,1048.02,1,0.522,23
140,-1051.35,0,0.959,15
141,-1051.83,0,0.959,23
142,-1051.99,0,0.959,19
143,-1052.24,0,0.958,19
1826,-1057.28,0,0.521,68
144,-1054.32,0,0.958,27
1827,1047.93,1,0.521,27
1828,-1051.09,0,0.521,14
145,-1054.32,0,0.958,42
1829,1048.87,1,0.521,13
146,-1051.44,0,0.958,14
147,-1.39,0,0.957,14
148,-1052.36,0,0.957,16
149,-1052.56,0,0.957,21
1830,-7.41,0,0.52,61
1831,-1052.16,0,0.52,31
150,-1055.78,0,0.957,48
1832,-1050.6,0,0.52,5
151,-1050.94,0,0.956,9
1833,-1051.06,0,0.52,16
152,-1052.45,0,0.956,20
153,-1052.52,0,0.956,17
154,-1051.01,0,0.956,16
155,1048.59,1,0.956,16
1834,-1057.77,0,0.519,62
156,-1051.56,0,0.956,16
157,-1052.57,0,0.955,22
1835,1045.09,1,0.518,46
158,-1053.86,0,0.955,26
159,-1051.56,0,0.955,16
1836,1048.21,1,0.518,24
160,-1052.14,0,0.955,19
1837,-1052.72,0,0.518,32
161,-1052.78,0,0.954,23
1838,-1051.11,0,0.518,11
162,1047.09,1,0.954,26
1839,-1051.61,0,0.518,16
163,-1053.25,0,0.954,25
1840,-1051.67,0,0.517,22
164,-1050.45,0,0.954,15
1841,-1051.83,0,0.517,28
1842,-1052.18,0,0.517,23
165,-1056.85,0,0.953,60
166,-1051.38,0,0.953,13
167,-1054.09,0,0.953,29
1843,-1058.82,0,0.516,52
168,-1051.29,0,0.953,14
1844,-1051.86,0,0.516,26
169,-1053.32,0,0.952,32
1845,-1051.76,0,0.516,26
1846,-1051.05,0,0.516,15
170,-1052.7,0,0.952,30
171,-1052.12,0,0.952,22
172,-1051.18,0,0.951,13
173,-1051.23,0,0.951,13
1847,1043.56,1,0.515,69
174,-1052.46,0,0.951,26
1848,-1051.0,0,0.515,10
175,-1053.37,0,0.951,27
1849,-1.81,0,0.514,21
1850,-1050.64,0,0.514,4
176,-1050.77,0,0.951,12
1851,-1051.53,0,0.514,23
177,-1055.06,0,0.95,26
178,-1051.35,0,0.95,15
1852,1047.46,1,0.514,24
1853,-0.99,0,0.514,14
179,-1052.72,0,0.95,27
1854,-1051.51,0,0.514,21
180,-1054.67,0,0.95,32
1855,-1052.59,0,0.513,24
181,-1051.99,0,0.949,24
182,-1051.17,0,0.949,12
1856,-1052.29,0,0.513,24
183,-1051.8,0,0.949,20
184,-1050.7,0,0.949,10
1857,-1052.99,0,0.513,24
185,-1052.97,0,0.949,27
1858,-1052.83,0,0.512,33
186,-1051.93,0,0.948,18
187,-1051.42,0,0.948,12
188,-1050.95,0,0.948,10
189,-1058.37,0,0.948,62
1859,-1059.29,0,0.512,79
190,-1052.66,0,0.947,26
1860,-1052.08,0,0.511,23
1861,-1056.82,0,0.511,57
1862,-1050.76,0,0.511,11
1863,-1051.71,0,0.51,26
1864,-1050.27,0,0.51,7
1865,-1050.91,0,0.51,21
1866,-1053.15,0,0.51,30
1867,-1052.0,0,0.509,30
1868,-1053.26,0,0.509,41
1869,-1050.67,0,0.509,12
1870,-1052.14,0,0.509,24
1871,-1051.59,0,0.508,19
1872,1048.91,1,0.508,19
1873,-1052.04,0,0.508,24
1874,-1051.08,0,0.508,13
1875,-1052.42,0,0.508,22
1876,-1051.07,0,0.507,17
1877,-1052.32,0,0.507,32
1878,-1050.59,0,0.507,9
1879,-1051.64,0,0.507,19
1880,-1049.89,0,0.507,4
1881,-1054.17,0,0.506,52
1882,-1051.61,0,0.506,21
1883,-1050.36,0,0.506,6
1884,-1052.01,0,0.506,21
1885,-1051.52,0,0.506,17
1886,-1051.26,0,0.505,16
1887,-1051.6,0,0.505,20
1888,1048.41,1,0.505,24
1889,-1051.32,0,0.505,22
1890,-1050.03,0,0.505,3
1891,-0.75,0,0.505,10
1892,-1051.9,0,0.504,25
1893,-1052.84,0,0.504,34
