episode,step,px,py,died
1,5900,1,8,0
1,5920,10,9,0
1,5940,5,7,0
1,5960,10,9,0
1,5980,6,9,0
1,6000,10,10,0
1,6020,2,5,0
1,6040,1,8,0
1,6060,6,8,0
1,6080,5,8,0
1,6100,3,7,0
1,6120,1,3,0
1,6140,9,9,0
1,6160,7,2,0
1,6180,9,5,0
1,6200,2,4,0
1,6220,9,6,0
1,6240,8,2,0
1,6260,8,2,0
1,6280,6,5,0
1,6300,9,1,0
1,6320,10,2,0
1,6340,10,2,0
1,6360,10,7,0
1,6380,5,5,0
1,6400,2,3,0
1,6420,7,5,0
1,6440,3,4,0
1,6460,5,2,0
1,6480,9,7,0
1,6500,4,1,0
1,6520,2,10,0
1,6540,4,9,0
1,6560,10,5,0
1,6580,10,6,0
1,6600,2,1,0
1,6620,9,10,0
1,6640,8,5,0
1,6660,9,5,0
1,6680,1,1,0
1,6700,3,6,0
1,6720,1,9,0
1,6740,4,1,0
1,6760,9,3,0
1,6780,2,1,0
1,6800,9,1,0
1,6820,8,1,0
1,6840,4,6,0
1,6860,5,10,0
1,6880,7,1,0
1,6900,8,6,0
1,6920,9,6,0
1,6940,9,8,0
1,6960,2,3,0
1,6980,8,1,0
1,7000,2,9,0
1,7020,5,9,0
1,7040,4,9,0
1,7060,7,4,0
1,7080,10,10,0
1,7100,3,9,0
1,7120,1,1,0
1,7140,3,10,0
1,7160,8,10,0
1,7180,2,1,0
1,7200,1,9,0
1,7220,2,8,0
1,7240,3,10,0
1,7260,3,5,0
1,7280,3,10,0
1,7300,3,7,0
1,7320,9,1,0
1,7340,4,1,0
1,7360,6,2,0
1,7380,7,8,0
1,7400,10,9,0
1,7420,1,4,0
1,7440,8,3,0
1,7460,3,10,0
1,7480,1,1,0
1,7500,7,5,0
1,7520,2,10,0
1,7540,7,2,0
1,7560,10,10,0
1,7580,7,8,0
1,7600,1,1,0
1,7620,2,7,0
1,7640,2,7,0
1,7660,4,4,0
1,7680,5,9,0
1,7700,3,6,0
1,7720,5,3,0
1,7740,9,7,0
1,7760,1,1,0
1,7780,9,7,0
1,7800,8,6,0
1,7820,8,3,0
1,7840,8,9,0
1,7860,1,4,0
1,7880,3,3,0
1,7900,5,6,0
1,7920,3,10,0
1,7940,3,5,0
1,7960,3,1,0
1,7980,10,2,0
1,8000,6,8,0
1,8020,3,2,0
1,8040,7,5,0
1,8060,9,10,0
1,8080,6,1,0
1,8100,1,8,0
1,8120,7,4,0
1,8140,10,7,0
1,8160,9,6,0
1,8180,8,8,0
1,8200,1,2,0
1,8220,7,5,0
1,8240,10,2,0
1,8260,9,2,0
1,8280,6,4,0
1,8300,7,7,0
1,8320,8,9,0
1,8340,6,1,0
1,8360,4,5,0
1,8380,9,2,0
1,8400,1,10,0
1,8420,5,2,0
1,8440,2,1,0
1,8460,7,2,0
1,8480,3,1,0
1,8500,8,5,0
1,8520,2,7,0
1,8540,4,10,0
1,8560,9,1,0
1,8580,10,3,0
1,8600,5,9,0
1,8620,5,10,0
1,8640,3,8,0
1,8660,1,3,0
1,8680,4,8,0
1,8700,3,2,0
1,8720,1,3,0
1,8740,6,10,0
1,8760,8,5,0
1,8780,4,3,0
1,8800,7,5,0
1,8820,3,9,0
1,8840,5,1,0
1,8860,2,2,0
1,8880,3,8,0
1,8900,10,7,0
1,8920,4,7,0
1,8940,3,9,0
1,8960,1,3,0
1,8980,3,2,0
1,9000,1,10,0
1,9020,7,1,0
1,9040,7,1,0
1,9060,10,1,0
1,9080,1,3,0
1,9100,5,8,0
1,9120,6,6,0
1,9140,1,6,0
1,9160,3,9,0
1,9180,1,8,0
1,9200,3,9,0
1,9220,8,2,0
1,9240,7,9,0
1,9260,5,3,0
1,9280,4,9,0
1,9300,9,10,0
1,9320,5,10,0
1,9340,4,10,0
1,9360,3,4,0
1,9380,9,4,0
1,9400,2,6,0
1,9420,1,2,0
1,9440,1,4,0
1,9460,2,8,0
1,9480,9,3,0
1,9500,3,9,0
1,9520,10,2,0
1,9540,8,3,0
1,9560,5,2,0
1,9580,1,7,0
1,9600,1,10,0
1,9620,9,9,0
1,9640,2,5,0
1,9660,9,8,0
1,9680,7,7,0
1,9700,1,7,0
1,9720,2,2,0
1,9740,5,5,0
1,9760,10,6,0
1,9780,7,8,0
1,9800,10,4,0
1,9820,4,1,0
1,9840,2,7,0
1,9860,5,4,0
1,9880,4,4,0
1,9900,4,6,0
1,9920,3,4,0
1,9940,3,1,0
1,9960,2,4,0
1,9980,5,2,0
1,10000,7,10,0
1,10020,8,7,0
1,10040,1,1,0
1,10060,8,7,0
1,10080,10,5,0
1,10100,6,9,0
1,10120,7,10,0
1,10140,10,9,0
1,10160,10,10,0
1,10180,4,6,0
1,10200,3,8,0
1,10220,10,1,0
1,10240,2,4,0
1,10260,1,4,0
1,10280,8,10,0
1,10300,1,2,0
1,10320,1,3,0
1,10340,8,7,0
1,10360,9,10,0
1,10380,6,8,0
1,10400,8,9,0
1,10420,8,3,0
1,10440,3,5,0
1,10460,2,10,0
1,10480,4,8,0
1,10500,1,9,0
1,10520,2,4,0
1,10540,6,4,0
1,10560,7,5,0
1,10580,7,6,0
1,10600,1,10,0
1,10620,9,1,0
1,10640,7,9,0
1,10660,10,3,0
1,10680,10,8,0
1,10700,2,1,0
1,10720,10,1,0
1,10740,10,3,0
1,10760,3,10,0
1,10780,2,1,0
1,10800,1,2,0
1,10820,8,10,0
1,10840,3,5,0
1,10860,10,5,0
1,10880,1,5,0
1,10900,9,9,0
1,10920,9,10,0
1,10940,4,6,0
1,10960,8,4,0
1,10980,2,3,0
1,11000,5,1,0
1,11020,7,9,0
1,11040,7,5,0
1,11060,10,7,0
1,11080,1,7,0
1,11100,10,2,0
1,11120,3,7,0
1,11140,2,7,0
1,11160,2,4,0
1,11180,7,10,0
1,11200,8,3,0
1,11220,2,6,0
1,11240,1,8,0
1,11260,5,7,0
1,11280,10,6,0
1,11300,9,5,0
1,11320,6,8,0
1,11340,6,10,0
1,11360,5,7,0
1,11380,10,4,0
1,11400,1,3,0
1,11420,1,1,0
1,11440,8,9,0
1,11460,5,9,0
1,11480,3,2,0
1,11500,4,6,0
1,11520,3,7,0
1,11540,5,5,0
1,11560,6,3,0
1,11580,4,6,0
1,11600,6,8,0
1,11620,3,10,0
1,11640,8,1,0
1,11660,9,10,0
1,11680,7,2,0
1,11700,7,8,0
1,11720,6,10,0
1,11740,7,5,0
1,11760,3,7,0
1,11780,3,9,0
1,11800,4,6,0
1,11820,2,4,0
1,11840,8,3,0
1,11860,1,10,0
1,11880,9,5,0
1,11900,1,8,0
1,11920,3,6,0
1,11940,1,9,0
1,11960,1,10,0
1,11980,9,3,0
1,12000,9,4,0
1,12020,1,3,0
1,12040,4,8,0
1,12060,2,8,0
1,12080,1,9,0
1,12100,9,1,0
1,12120,5,1,0
1,12140,7,5,0
1,12160,4,6,0
1,12180,6,9,0
1,12200,7,3,0
1,12220,7,10,0
1,12240,7,3,0
1,12260,7,8,0
1,12280,4,5,0
1,12300,7,6,0
1,12320,1,3,0
1,12340,8,4,0
1,12360,2,3,0
1,12380,1,3,0
1,12400,2,9,0
1,12420,9,8,0
1,12440,8,10,0
1,12460,2,8,0
1,12480,7,5,0
1,12500,6,3,0
1,12520,3,3,0
1,12540,6,6,0
1,12560,5,5,0
1,12580,8,3,0
1,12600,1,5,0
1,12620,1,4,0
1,12640,1,5,0
1,12660,6,9,0
1,12680,2,6,0
1,12700,7,4,0
1,12720,1,2,0
1,12740,2,4,0
1,12760,7,1,0
1,12780,10,5,0
1,12800,8,1,0
1,12820,4,4,0
1,12840,1,4,0
1,12860,6,9,0
1,12880,10,3,0
1,12900,8,7,0
1,12920,3,8,0
1,12940,4,7,0
1,12960,4,8,0
1,12980,8,5,0
1,13000,4,3,0
1,13020,7,8,0
1,13040,9,2,0
1,13060,5,2,0
1,13080,4,2,0
1,13100,5,8,0
1,13120,1,9,0
1,13140,7,5,0
1,13160,7,4,0
1,13180,5,2,0
1,13200,4,9,0
1,13220,4,2,0
1,13240,1,3,0
1,13260,9,5,0
1,13280,7,8,0
1,13300,7,10,0
1,13320,8,10,0
1,13340,9,8,0
1,13360,10,1,0
1,13380,7,1,0
1,13400,7,4,0
1,13420,8,7,0
1,13440,4,5,0
1,13460,7,4,0
1,13480,1,8,0
1,13500,6,7,0
1,13520,2,10,0
1,13540,9,4,0
1,13560,5,3,0
1,13580,9,1,0
1,13600,4,2,0
1,13620,7,1,0
1,13640,3,10,0
1,13660,4,3,0
1,13680,1,6,0
1,13700,4,8,0
1,13720,7,10,0
1,13740,8,2,0
1,13760,10,9,0
1,13780,2,8,0
1,13800,7,6,0
1,13820,7,5,0
1,13840,4,5,0
1,13860,7,1,0
1,13880,9,10,0
1,13900,10,3,0
1,13920,4,1,0
1,13940,10,3,0
1,13960,7,7,0
1,13980,2,7,0
1,14000,4,2,0
1,14020,2,3,0
1,14040,9,10,0
1,14060,8,9,0
1,14080,5,10,0
1,14100,7,10,0
1,14120,7,4,0
1,14140,10,4,0
1,14160,3,1,0
1,14180,3,7,0
1,14200,2,2,0
1,14220,10,9,0
1,14240,1,8,0
1,14260,2,8,0
1,14280,2,1,0
1,14300,3,4,0
1,14320,7,9,0
1,14340,1,1,0
1,14360,10,10,0
1,14380,1,9,0
1,14400,10,7,0
1,14420,1,9,0
1,14440,5,9,0
1,14460,5,10,0
1,14480,4,1,0
1,14500,2,10,0
1,14520,9,3,0
1,14540,10,7,0
1,14560,10,6,0
1,14580,10,4,0
1,14600,8,9,0
1,14620,4,8,0
1,14640,2,4,0
1,14660,7,10,0
1,14680,10,9,0
1,14700,10,1,0
1,14720,6,3,0
1,14740,10,9,0
1,14760,4,4,0
1,14780,6,10,0
1,14800,4,7,0
1,14820,8,3,0
1,14840,9,5,0
1,14860,2,9,0
1,14880,1,2,0
1,14900,2,4,0
1,14920,2,2,0
1,14940,10,9,0
1,14960,10,5,0
1,14980,7,9,0
1,15000,9,7,0
1,15020,1,10,0
1,15040,6,9,0
1,15060,1,4,0
1,15080,6,10,0
1,15100,8,10,0
1,15120,9,6,0
1,15140,3,1,0
1,15160,9,2,0
1,15180,9,7,0
1,15200,1,6,0
1,15220,1,6,0
1,15240,7,9,0
1,15260,1,10,0
1,15280,9,4,0
1,15300,5,9,0
1,15320,9,1,0
1,15340,1,4,0
1,15360,6,9,0
1,15380,8,5,0
1,15400,6,9,0
1,15420,9,1,0
1,15440,2,4,0
1,15460,7,4,0
1,15480,5,1,0
1,15500,8,5,0
1,15520,2,6,0
1,15540,9,1,0
1,15560,10,2,0
1,15580,9,4,0
1,15600,2,10,0
1,15620,1,1,0
1,15640,6,7,0
1,15660,8,7,0
1,15680,8,9,0
1,15700,9,4,0
1,15720,8,2,0
1,15740,8,3,0
