episode,total_reward,win,epsilon,steps
1649,1047.58,1,0.578,32
1650,-1052.83,0,0.577,28
1651,-1050.78,0,0.577,8
1652,-1054.5,0,0.577,40
1653,-1052.98,0,0.577,28
1654,-1050.6,0,0.576,5
1655,-1052.92,0,0.576,32
1656,-1050.9,0,0.576,15
1657,1046.68,1,0.576,32
1658,-1054.51,0,0.575,36
1659,-1053.04,0,0.575,29
1660,-1050.89,0,0.575,9
1661,-1051.84,0,0.575,19
1662,-1051.06,0,0.575,11
1663,-1052.71,0,0.574,31
1664,-1052.4,0,0.574,20
1665,-1050.69,0,0.574,19
1666,-1051.85,0,0.574,20
1667,-1055.14,0,0.573,49
1668,-1060.05,0,0.572,90
1669,-1051.92,0,0.572,17
1670,1048.76,1,0.572,24
1671,-1051.1,0,0.572,15
1672,-1054.81,0,0.571,51
1673,1048.35,1,0.571,15
1674,-1056.12,0,0.57,72
1675,-1051.67,0,0.57,22
1676,-1052.38,0,0.57,28
1677,-1053.02,0,0.569,27
1678,-1052.71,0,0.569,26
1679,-1051.71,0,0.569,16
1680,-1054.16,0,0.568,46
1681,-1055.08,0,0.568,33
1682,-1054.0,0,0.568,35
1683,-1052.05,0,0.567,25
1684,-1051.12,0,0.567,17
1685,-1053.89,0,0.567,34
1686,-1051.34,0,0.567,14
1687,-1050.82,0,0.567,12
1688,-1051.14,0,0.566,19
1689,-1052.49,0,0.566,24
1690,-1054.19,0,0.566,34
1691,-1050.35,0,0.566,15
1692,-1052.39,0,0.565,24
1693,-1055.26,0,0.565,51
1694,-1052.82,0,0.564,37
1695,-1051.94,0,0.564,19
1696,-1052.08,0,0.564,18
1697,-1058.53,0,0.563,63
1698,-2.34,0,0.563,29
1699,-1066.52,0,0.562,112
1700,-1062.87,0,0.561,77
1701,-4.26,0,0.561,41
1702,-1051.32,0,0.56,17
1703,-1050.93,0,0.56,13
1,-1051.47,0,1.0,12
2,-1052.75,0,1.0,30
3,-6.29,0,0.999,39
1704,-1052.42,0,0.56,32
4,-1056.34,0,0.999,54
5,-1052.45,0,0.998,20
6,-1052.19,0,0.998,19
7,-1051.69,0,0.998,14
8,-1050.97,0,0.998,12
1705,-1051.27,0,0.56,17
9,-1051.0,0,0.998,10
10,-1053.86,0,0.997,36
11,-1053.66,0,0.997,36
12,1044.89,1,0.997,31
13,-1053.78,0,0.996,38
14,-1052.66,0,0.996,6
15,-1052.15,0,0.996,20
16,-1054.44,0,0.996,34
17,-1050.7,0,0.996,10
18,-1051.76,0,0.995,16
1706,-1053.18,0,0.559,43
19,-1052.61,0,0.995,26
20,-1051.76,0,0.995,16
21,-1052.49,0,0.995,19
22,-1057.36,0,0.994,66
23,-1053.04,0,0.994,29
1707,-1052.98,0,0.559,28
24,-1053.53,0,0.993,33
25,-1069.16,0,0.992,126
26,-1051.01,0,0.992,11
27,-1050.96,0,0.992,11
28,-1053.28,0,0.992,28
29,-1052.86,0,0.991,31
30,-1053.22,0,0.991,32
1708,-1052.91,0,0.559,36
31,-1052.77,0,0.991,27
32,-1051.66,0,0.99,16
33,-1053.44,0,0.99,24
34,-1052.0,0,0.99,20
35,-1051.05,0,0.99,15
1709,-1051.95,0,0.558,15
36,-1053.59,0,0.989,34
37,-1051.58,0,0.989,13
38,-1051.12,0,0.989,17
