episode,reward,win,epsilon,q_size
25500,45.91,1,0.394,134
25600,-53.01,0,0.392,134
25700,-53.29,0,0.39,134
25800,99.99,1,0.387,134
25900,99.56,1,0.385,134
26000,99.91,1,0.383,134
26100,93.69,1,0.38,134
26200,-63.01,0,0.378,134
26300,95.2,1,0.375,134
26400,97.96,1,0.373,134
26500,-60.05,0,0.371,134
26600,-55.96,0,0.368,134
26700,97.29,1,0.366,134
26800,93.38,1,0.364,134
26900,-53.28,0,0.361,134
27000,-51.78,0,0.359,134
27100,92.19,1,0.356,134
27200,96.22,1,0.354,134
27300,-56.69,0,0.352,134
27400,95.95,1,0.349,134
27500,98.58,1,0.347,134
27600,100.38,1,0.345,134
27700,96.62,1,0.342,134
27800,98.19,1,0.34,134
27900,99.56,1,0.337,134
28000,94.34,1,0.335,134
28100,99.95,1,0.333,134
28200,97.48,1,0.33,134
28300,-53.97,0,0.328,134
28400,-51.85,0,0.326,134
28500,97.9,1,0.323,134
28600,94.9,1,0.321,134
28700,93.74,1,0.318,134
28800,97.83,1,0.316,134
28900,97.4,1,0.314,134
29000,97.21,1,0.311,134
29100,-64.06,0,0.309,134
29200,93.25,1,0.307,134
29300,-60.49,0,0.304,134
29400,97.06,1,0.302,134
29500,99.68,1,0.299,134
29600,99.69,1,0.297,134
29700,-54.32,0,0.295,134
29800,94.48,1,0.292,134
29900,97.46,1,0.29,134
30000,92.56,1,0.288,134
30100,-51.78,0,0.285,134
30200,-50.44,0,0.283,134
30300,-56.13,0,0.28,134
30400,94.25,1,0.278,134
30500,-52.19,0,0.276,134
30600,47.48,1,0.273,134
30700,99.32,1,0.271,134
30800,99.25,1,0.269,134
30900,99.48,1,0.266,134
31000,97.45,1,0.264,134
31100,-51.89,0,0.261,134
31200,98.88,1,0.259,134
31300,99.45,1,0.257,134
31400,98.36,1,0.254,134
31500,100.38,1,0.252,134
31600,-51.96,0,0.25,134
31700,94.89,1,0.247,134
31800,97.03,1,0.245,134
31900,100.57,1,0.242,134
32000,98.02,1,0.24,134
32100,97.19,1,0.238,134
32200,48.94,1,0.235,134
32300,100.38,1,0.233,134
32400,98.26,1,0.231,134
32500,97.37,1,0.228,134
32600,99.45,1,0.226,134
32700,49.31,1,0.223,134
32800,95.84,1,0.221,134
32900,96.55,1,0.219,134
33000,-56.44,0,0.216,134
33100,98.76,1,0.214,134
33200,100.36,1,0.212,134
33300,99.38,1,0.209,134
33400,49.18,1,0.207,134
33500,100.56,1,0.204,134
33600,99.22,1,0.202,134
33700,-57.19,0,0.2,134
33800,100.57,1,0.197,134
33900,99.37,1,0.195,134
34000,-56.69,0,0.193,134
34100,99.52,1,0.19,134
34200,95.42,1,0.188,134
34300,97.38,1,0.185,134
34400,-52.97,0,0.183,134
34500,98.38,1,0.181,134
34600,99.4,1,0.178,134
34700,98.5,1,0.176,134
34800,49.83,1,0.174,134
34900,-53.17,0,0.171,134
35000,100.38,1,0.169,134
35100,-54.15,0,0.166,134
35200,-50.73,0,0.164,134
35300,97.69,1,0.162,134
35400,98.8,1,0.159,134
35500,96.86,1,0.157,134
35600,48.4,1,0.155,134
35700,49.31,1,0.152,134
35800,98.95,1,0.15,134
35900,99.94,1,0.147,134
36000,-51.25,0,0.145,134
36100,98.21,1,0.143,134
36200,97.94,1,0.14,134
36300,99.2,1,0.138,134
36400,95.63,1,0.136,134
36500,99.57,1,0.133,134
36600,100.12,1,0.131,134
36700,-52.16,0,0.128,134
36800,99.4,1,0.126,134
36900,98.87,1,0.124,134
37000,99.15,1,0.121,134
37100,98.77,1,0.119,134
37200,97.83,1,0.117,134
37300,-54.68,0,0.114,134
37400,96.28,1,0.112,134
37500,98.93,1,0.109,134
37600,96.25,1,0.107,134
37700,99.52,1,0.105,134
37800,48.01,1,0.102,134
37900,99.6,1,0.1,134
38000,99.83,1,0.098,134
38100,97.29,1,0.095,134
38200,100.09,1,0.093,134
38300,100.5,1,0.09,134
38400,98.35,1,0.088,134
38500,97.2,1,0.086,134
38600,-51.67,0,0.083,134
38700,49.02,1,0.081,134
38800,100.02,1,0.079,134
38900,100.18,1,0.076,134
39000,97.41,1,0.074,134
39100,99.24,1,0.071,134
39200,100.38,1,0.069,134
39300,-53.13,0,0.067,134
39400,98.95,1,0.064,134
39500,97.49,1,0.062,134
39600,99.79,1,0.06,134
39700,47.96,1,0.057,134
39800,96.67,1,0.055,134
39900,97.96,1,0.052,134
40000,98.98,1,0.05,134
40100,98.97,1,0.05,134
40200,99.48,1,0.05,134
40300,99.99,1,0.05,134
40400,99.92,1,0.05,134
40500,47.11,1,0.05,134
40600,99.09,1,0.05,134
40700,-50.9,0,0.05,134
40800,96.38,1,0.05,134
40900,99.62,1,0.05,134
41000,100.12,1,0.05,134
41100,97.52,1,0.05,134
41200,97.88,1,0.05,134
41300,97.64,1,0.05,134
41400,98.19,1,0.05,134
41500,99.61,1,0.05,134
41600,97.56,1,0.05,134
41700,97.03,1,0.05,134
41800,100.38,1,0.05,134
41900,100.06,1,0.05,134
42000,98.45,1,0.05,134
42100,100.18,1,0.05,134
42200,97.53,1,0.05,134
42300,97.86,1,0.05,134
42400,96.84,1,0.05,134
42500,96.24,1,0.05,134
42600,97.64,1,0.05,134
42700,97.34,1,0.05,134
42800,98.83,1,0.05,134
42900,99.57,1,0.05,134
43000,99.7,1,0.05,134
43100,99.93,1,0.05,134
43200,99.28,1,0.05,134
43300,99.93,1,0.05,134
43400,49.64,1,0.05,134
43500,99.77,1,0.05,134
43600,98.54,1,0.05,134
43700,97.33,1,0.05,134
43800,96.16,1,0.05,134
43900,99.19,1,0.05,134
44000,48.65,1,0.05,134
44100,98.48,1,0.05,134
44200,99.68,1,0.05,134
44300,46.54,1,0.05,134
44400,-53.23,0,0.05,134
44500,97.51,1,0.05,134
44600,98.94,1,0.05,134
44700,97.88,1,0.05,134
44800,99.92,1,0.05,134
44900,98.57,1,0.05,134
45000,48.66,1,0.05,134
45100,96.28,1,0.05,134
45200,99.44,1,0.05,134
45300,97.56,1,0.05,134
45400,99.07,1,0.05,134
45500,97.2,1,0.05,134
45600,98.14,1,0.05,134
45700,97.73,1,0.05,134
45800,99.41,1,0.05,134
45900,98.57,1,0.05,134
46000,95.93,1,0.05,134
46100,49.31,1,0.05,134
46200,99.12,1,0.05,134
46300,96.31,1,0.05,134
46400,48.43,1,0.05,134
46500,100.06,1,0.05,134
46600,98.3,1,0.05,134
46700,49.93,1,0.05,134
46800,99.64,1,0.05,134
46900,97.26,1,0.05,134
47000,98.88,1,0.05,134
47100,98.07,1,0.05,134
47200,98.67,1,0.05,134
47300,99.0,1,0.05,134
47400,98.62,1,0.05,134
47500,99.56,1,0.05,134
47600,99.45,1,0.05,134
47700,96.44,1,0.05,134
47800,99.11,1,0.05,134
47900,98.67,1,0.05,134
48000,46.27,1,0.05,134
48100,99.0,1,0.05,134
48200,99.57,1,0.05,134
48300,100.38,1,0.05,134
48400,97.11,1,0.05,134
48500,98.87,1,0.05,134
48600,99.2,1,0.05,134
48700,-51.78,0,0.05,134
48800,97.66,1,0.05,134
48900,99.18,1,0.05,134
49000,99.93,1,0.05,134
49100,99.38,1,0.05,134
49200,99.39,1,0.05,134
49300,98.75,1,0.05,134
49400,46.98,1,0.05,134
49500,93.98,1,0.05,134
49600,94.68,1,0.05,134
49700,97.56,1,0.05,134
49800,99.58,1,0.05,134
49900,97.69,1,0.05,134
50000,100.19,1,0.05,134
