episode,reward,win,epsilon,q_size
100,-50.95,0,0.998,124
200,-54.03,0,0.995,126
300,-54.25,0,0.993,127
400,-52.5,0,0.991,127
500,-53.23,0,0.988,129
600,96.08,1,0.986,130
700,-56.24,0,0.983,131
800,-53.16,0,0.981,132
900,-52.87,0,0.979,133
1000,94.88,1,0.976,133
1100,-54.31,0,0.974,133
1200,-62.98,0,0.972,133
1300,-53.54,0,0.969,133
1400,48.81,1,0.967,133
1500,-64.34,0,0.964,133
1600,-60.24,0,0.962,133
1700,-54.29,0,0.96,133
1800,-53.71,0,0.957,133
1900,-60.68,0,0.955,133
2000,-54.78,0,0.953,133
2100,-54.05,0,0.95,133
2200,-52.76,0,0.948,133
2300,-52.25,0,0.945,133
2400,-56.66,0,0.943,133
2500,-55.16,0,0.941,133
2600,-60.22,0,0.938,133
2700,-51.26,0,0.936,133
2800,-52.76,0,0.934,133
2900,-51.97,0,0.931,133
3000,-57.17,0,0.929,133
3100,-55.51,0,0.926,133
3200,-53.52,0,0.924,133
3300,-55.25,0,0.922,133
3400,45.41,1,0.919,134
3500,-55.64,0,0.917,134
3600,-52.03,0,0.915,134
3700,98.83,1,0.912,134
3800,-53.47,0,0.91,134
3900,-53.35,0,0.907,134
4000,-57.49,0,0.905,134
4100,-55.93,0,0.903,134
4200,96.65,1,0.9,134
4300,-53.79,0,0.898,134
4400,-56.58,0,0.896,134
4500,-53.34,0,0.893,134
4600,-55.08,0,0.891,134
4700,-52.9,0,0.888,134
4800,-54.41,0,0.886,134
4900,-112.76,0,0.884,134
5000,-51.71,0,0.881,134
5100,-55.8,0,0.879,134
5200,-53.12,0,0.877,134
5300,96.06,1,0.874,134
5400,-53.91,0,0.872,134
5500,-59.02,0,0.869,134
5600,-53.09,0,0.867,134
5700,-55.02,0,0.865,134
5800,98.39,1,0.862,134
5900,-57.94,0,0.86,134
6000,-58.31,0,0.858,134
6100,-61.04,0,0.855,134
6200,-54.84,0,0.853,134
6300,-51.06,0,0.85,134
6400,100.38,1,0.848,134
6500,-54.07,0,0.846,134
6600,-52.53,0,0.843,134
6700,-55.18,0,0.841,134
6800,-52.25,0,0.839,134
6900,-65.96,0,0.836,134
7000,-52.76,0,0.834,134
7100,-52.17,0,0.831,134
7200,91.93,1,0.829,134
7300,-54.89,0,0.827,134
7400,-54.24,0,0.824,134
7500,46.83,1,0.822,134
7600,97.36,1,0.82,134
7700,-54.26,0,0.817,134
7800,-54.45,0,0.815,134
7900,-58.3,0,0.812,134
8000,-54.63,0,0.81,134
8100,-55.98,0,0.808,134
8200,94.79,1,0.805,134
8300,98.58,1,0.803,134
8400,-51.16,0,0.801,134
8500,94.0,1,0.798,134
8600,99.99,1,0.796,134
8700,48.36,1,0.793,134
8800,-52.7,0,0.791,134
8900,87.78,1,0.789,134
9000,-55.78,0,0.786,134
9100,-60.5,0,0.784,134
9200,86.44,1,0.782,134
9300,-61.15,0,0.779,134
9400,-54.6,0,0.777,134
9500,-52.16,0,0.774,134
9600,-55.31,0,0.772,134
9700,-53.18,0,0.77,134
9800,-56.72,0,0.767,134
9900,96.49,1,0.765,134
10000,-52.38,0,0.763,134
10100,100.07,1,0.76,134
10200,-51.62,0,0.758,134
10300,-52.12,0,0.755,134
10400,96.63,1,0.753,134
10500,-55.75,0,0.751,134
10600,92.68,1,0.748,134
10700,-53.49,0,0.746,134
10800,-53.8,0,0.744,134
10900,-50.98,0,0.741,134
11000,-51.82,0,0.739,134
11100,95.65,1,0.736,134
11200,49.17,1,0.734,134
11300,-57.45,0,0.732,134
11400,97.64,1,0.729,134
11500,100.07,1,0.727,134
11600,-50.75,0,0.725,134
11700,-56.94,0,0.722,134
11800,-55.26,0,0.72,134
11900,-51.99,0,0.717,134
12000,-62.0,0,0.715,134
12100,-52.16,0,0.713,134
12200,-55.33,0,0.71,134
12300,91.77,1,0.708,134
12400,97.64,1,0.706,134
12500,-53.93,0,0.703,134
12600,-52.96,0,0.701,134
12700,43.22,1,0.698,134
12800,93.04,1,0.696,134
12900,-53.92,0,0.694,134
13000,-53.29,0,0.691,134
13100,-64.18,0,0.689,134
13200,96.27,1,0.687,134
13300,-58.04,0,0.684,134
13400,-53.57,0,0.682,134
13500,-54.93,0,0.679,134
13600,-54.34,0,0.677,134
13700,97.82,1,0.675,134
13800,95.87,1,0.672,134
13900,97.79,1,0.67,134
14000,94.02,1,0.668,134
14100,-53.88,0,0.665,134
14200,92.0,1,0.663,134
14300,-54.31,0,0.66,134
14400,-51.78,0,0.658,134
14500,92.15,1,0.656,134
14600,-54.05,0,0.653,134
14700,-51.65,0,0.651,134
14800,97.05,1,0.649,134
14900,96.47,1,0.646,134
15000,43.81,1,0.644,134
15100,98.34,1,0.641,134
15200,-52.03,0,0.639,134
15300,-56.91,0,0.637,134
15400,95.28,1,0.634,134
15500,-52.31,0,0.632,134
15600,-53.05,0,0.63,134
15700,-53.88,0,0.627,134
15800,-55.75,0,0.625,134
15900,-62.14,0,0.622,134
16000,50.06,1,0.62,134
16100,100.18,1,0.618,134
16200,-53.13,0,0.615,134
16300,97.75,1,0.613,134
16400,-52.64,0,0.611,134
16500,-54.79,0,0.608,134
16600,-53.7,0,0.606,134
16700,100.12,1,0.603,134
16800,-54.08,0,0.601,134
16900,-57.59,0,0.599,134
17000,93.03,1,0.596,134
17100,46.76,1,0.594,134
17200,-51.81,0,0.592,134
17300,-51.85,0,0.589,134
17400,96.96,1,0.587,134
17500,-54.38,0,0.584,134
17600,-53.56,0,0.582,134
17700,-60.18,0,0.58,134
17800,-57.4,0,0.577,134
17900,95.36,1,0.575,134
18000,-58.68,0,0.573,134
18100,-51.97,0,0.57,134
18200,98.06,1,0.568,134
18300,-57.21,0,0.565,134
18400,94.53,1,0.563,134
18500,-53.18,0,0.561,134
18600,-55.9,0,0.558,134
18700,97.7,1,0.556,134
18800,-57.58,0,0.554,134
18900,93.39,1,0.551,134
19000,-53.79,0,0.549,134
19100,-55.52,0,0.546,134
19200,97.41,1,0.544,134
19300,-53.31,0,0.542,134
19400,97.72,1,0.539,134
19500,-55.84,0,0.537,134
19600,84.07,1,0.535,134
19700,95.48,1,0.532,134
19800,96.96,1,0.53,134
19900,-52.29,0,0.527,134
20000,-58.14,0,0.525,134
20100,94.88,1,0.523,134
20200,99.87,1,0.52,134
20300,-56.06,0,0.518,134
20400,90.79,1,0.516,134
20500,-56.63,0,0.513,134
20600,-53.0,0,0.511,134
20700,97.98,1,0.508,134
20800,92.04,1,0.506,134
20900,-52.97,0,0.504,134
21000,95.97,1,0.501,134
21100,-52.55,0,0.499,134
21200,100.07,1,0.497,134
21300,-58.85,0,0.494,134
21400,96.85,1,0.492,134
21500,-55.27,0,0.489,134
21600,-53.95,0,0.487,134
21700,45.86,1,0.485,134
21800,-52.21,0,0.482,134
21900,98.14,1,0.48,134
22000,94.34,1,0.478,134
22100,94.32,1,0.475,134
22200,-54.66,0,0.473,134
22300,97.73,1,0.47,134
22400,-58.61,0,0.468,134
22500,45.3,1,0.466,134
22600,-55.12,0,0.463,134
22700,-54.97,0,0.461,134
22800,46.36,1,0.459,134
22900,95.38,1,0.456,134
23000,-54.9,0,0.454,134
23100,47.23,1,0.451,134
23200,97.62,1,0.449,134
23300,-54.79,0,0.447,134
23400,-51.8,0,0.444,134
23500,99.44,1,0.442,134
23600,97.05,1,0.44,134
23700,97.09,1,0.437,134
23800,94.72,1,0.435,134
23900,96.52,1,0.432,134
24000,96.31,1,0.43,134
24100,46.51,1,0.428,134
24200,-52.65,0,0.425,134
24300,-55.72,0,0.423,134
24400,85.79,1,0.421,134
24500,-52.47,0,0.418,134
24600,43.91,1,0.416,134
24700,-51.72,0,0.413,134
24800,44.83,1,0.411,134
24900,-53.48,0,0.409,134
25000,100.18,1,0.406,134
25100,-52.63,0,0.404,134
25200,94.41,1,0.402,134
25300,-54.61,0,0.399,134
25400,-54.29,0,0.397,134
