episode,reward,win,epsilon,q_size
100,-53.82,0,0.996,126
200,-53.76,0,0.992,128
300,-51.13,0,0.988,129
400,-60.28,0,0.984,129
500,-61.5,0,0.98,130
600,-53.36,0,0.976,130
700,-58.87,0,0.972,130
800,-53.47,0,0.968,130
900,-55.41,0,0.964,130
1000,-57.24,0,0.96,131
1100,-52.49,0,0.956,131
1200,-54.83,0,0.953,132
1300,-50.74,0,0.949,132
1400,87.53,1,0.945,132
1500,-56.01,0,0.941,132
1600,-54.59,0,0.937,132
1700,-54.12,0,0.933,132
1800,-54.21,0,0.929,132
1900,-54.56,0,0.925,133
2000,-54.3,0,0.921,133
2100,-52.82,0,0.917,133
2200,-50.98,0,0.913,133
2300,97.24,1,0.909,133
2400,-55.63,0,0.905,133
2500,-56.21,0,0.901,133
2600,-57.13,0,0.897,133
2700,-52.53,0,0.893,133
2800,-52.78,0,0.889,133
2900,-53.2,0,0.885,133
3000,-52.42,0,0.881,133
3100,-54.62,0,0.877,133
3200,-52.85,0,0.873,133
3300,-54.99,0,0.869,133
3400,-53.69,0,0.865,133
3500,-54.98,0,0.861,133
3600,-56.1,0,0.858,133
3700,-51.67,0,0.854,133
3800,-54.5,0,0.85,133
3900,-56.55,0,0.846,133
4000,-54.62,0,0.842,133
4100,-53.16,0,0.838,133
4200,-56.73,0,0.834,133
4300,-50.98,0,0.83,133
4400,-56.59,0,0.826,133
4500,-56.94,0,0.822,133
4600,-57.74,0,0.818,133
4700,-56.66,0,0.814,133
4800,98.87,1,0.81,133
4900,45.4,1,0.806,133
5000,-57.9,0,0.802,133
5100,96.72,1,0.798,133
5200,93.5,1,0.794,133
5300,-60.05,0,0.79,133
5400,-67.38,0,0.786,133
5500,93.15,1,0.782,133
5600,-51.06,0,0.778,133
5700,-52.89,0,0.774,133
5800,89.26,1,0.77,133
5900,-58.09,0,0.766,133
6000,-51.19,0,0.763,133
6100,-58.22,0,0.759,133
6200,-53.9,0,0.755,133
6300,-54.74,0,0.751,133
6400,-53.92,0,0.747,133
6500,-54.22,0,0.743,133
6600,-52.58,0,0.739,133
6700,-52.23,0,0.735,133
6800,-53.94,0,0.731,133
6900,-52.08,0,0.727,134
7000,-55.03,0,0.723,134
7100,-55.96,0,0.719,134
7200,-55.33,0,0.715,134
7300,99.98,1,0.711,134
7400,-59.17,0,0.707,134
7500,97.04,1,0.703,134
7600,-56.7,0,0.699,134
7700,-53.06,0,0.695,134
7800,-55.07,0,0.691,134
7900,-54.9,0,0.687,134
8000,-55.3,0,0.683,134
8100,-58.45,0,0.679,134
8200,-54.3,0,0.675,134
8300,-52.5,0,0.671,134
8400,-57.37,0,0.668,134
8500,97.71,1,0.664,134
8600,-52.13,0,0.66,134
8700,-51.7,0,0.656,134
8800,-52.54,0,0.652,134
8900,-53.44,0,0.648,134
9000,-54.95,0,0.644,134
9100,-53.12,0,0.64,134
9200,97.14,1,0.636,134
9300,98.62,1,0.632,134
9400,95.05,1,0.628,134
9500,-51.17,0,0.624,134
9600,-52.58,0,0.62,134
9700,97.63,1,0.616,134
9800,-58.1,0,0.612,134
9900,-52.75,0,0.608,134
10000,-51.82,0,0.604,134
10100,-52.52,0,0.6,134
10200,-53.15,0,0.596,134
10300,-53.38,0,0.592,134
10400,-54.81,0,0.588,134
10500,-51.25,0,0.584,134
10600,98.64,1,0.58,134
10700,-54.41,0,0.576,134
10800,97.43,1,0.573,134
10900,48.2,1,0.569,134
11000,-53.58,0,0.565,134
11100,-52.98,0,0.561,134
11200,95.99,1,0.557,134
11300,-51.24,0,0.553,134
11400,-56.53,0,0.549,134
11500,94.81,1,0.545,134
11600,95.1,1,0.541,134
11700,-54.3,0,0.537,134
11800,-54.17,0,0.533,134
11900,-51.59,0,0.529,134
12000,99.39,1,0.525,134
12100,-60.95,0,0.521,134
12200,-57.1,0,0.517,134
12300,-61.84,0,0.513,134
12400,-54.84,0,0.509,134
12500,99.99,1,0.505,134
12600,-57.42,0,0.501,134
12700,97.94,1,0.497,134
12800,45.53,1,0.493,134
12900,96.65,1,0.489,134
13000,-54.45,0,0.485,134
13100,98.09,1,0.481,134
13200,98.14,1,0.478,134
13300,95.45,1,0.474,134
13400,100.38,1,0.47,134
13500,-51.73,0,0.466,134
13600,95.51,1,0.462,134
13700,-57.54,0,0.458,134
13800,-50.25,0,0.454,134
13900,-53.76,0,0.45,134
14000,-52.12,0,0.446,134
14100,-61.83,0,0.442,134
14200,97.29,1,0.438,134
14300,-56.72,0,0.434,134
14400,-53.0,0,0.43,134
14500,100.0,1,0.426,134
14600,84.94,1,0.422,134
14700,100.09,1,0.418,134
14800,-53.24,0,0.414,134
14900,96.12,1,0.41,134
15000,96.7,1,0.406,134
15100,-51.74,0,0.402,134
15200,99.66,1,0.398,134
15300,-53.32,0,0.394,134
15400,-56.13,0,0.39,134
15500,-57.4,0,0.386,134
15600,85.64,1,0.383,134
