episode,total_reward,steps,duration,player_hp,enemy_hp,shots,hits,win,epsilon
112,-123.91,1001,166.83,3,3,75,0,0,0.9455
113,-165.66,1001,166.83,1,2,79,1,0,0.9451
114,-122.61,1001,166.83,2,2,79,1,0,0.9446
115,-180.41,1001,166.83,2,3,76,0,0,0.9441
116,-118.76,1001,166.83,3,3,79,0,0,0.9436
117,-1171.0,535,89.17,0,2,40,1,0,0.9432
118,-175.91,1001,166.83,1,2,75,1,0,0.9427
119,-31.81,1001,166.83,3,1,74,2,0,0.9422
120,-122.51,1001,166.83,3,3,77,0,0,0.9418
121,-1137.11,671,111.83,0,1,55,2,0,0.9413
122,-1258.75,940,156.67,0,3,74,0,0,0.9408
123,-1170.38,158,26.33,0,3,12,0,0,0.9403
124,-1225.18,603,100.5,0,3,45,0,0,0.9399
125,-171.86,1001,166.83,1,2,76,1,0,0.9394
126,-226.96,1001,166.83,1,3,75,0,0,0.9389
127,-116.46,1001,166.83,3,3,75,0,0,0.9385
128,-182.96,1001,166.83,2,3,77,0,0,0.938
129,-121.96,1001,166.83,3,3,78,0,0,0.9375
130,-136.31,1001,166.83,3,3,72,0,0,0.9371
131,-168.26,1001,166.83,2,3,73,0,0,0.9366
132,-1231.59,674,112.33,0,3,48,0,0,0.9361
133,-1191.57,747,124.5,0,2,57,1,0,0.9356
134,-1081.27,247,41.17,0,1,21,2,0,0.9352
135,1014.61,734,122.33,2,0,52,3,1,0.9347
136,-215.56,1001,166.83,1,3,76,0,0,0.9342
137,-164.46,1001,166.83,2,3,75,0,0,0.9338
138,-1165.44,504,84.0,0,2,36,1,0,0.9333
139,-220.96,1001,166.83,1,3,74,0,0,0.9328
140,-1165.88,488,81.33,0,2,38,1,0,0.9324
141,1016.25,275,45.83,1,0,22,3,1,0.9319
142,-68.51,1001,166.83,2,1,77,2,0,0.9314
143,994.69,876,146.0,2,0,66,3,1,0.931
144,-70.61,1001,166.83,3,2,77,1,0,0.9305
145,-125.71,1001,166.83,1,1,78,2,0,0.93
146,-79.01,1001,166.83,2,1,79,2,0,0.9296
147,-125.46,1001,166.83,3,3,76,0,0,0.9291
148,-171.51,1001,166.83,2,3,73,0,0,0.9287
149,1013.62,723,120.5,2,0,57,3,1,0.9282
150,974.83,687,114.5,1,0,53,3,1,0.9277
151,-25.61,1001,166.83,3,1,79,2,0,0.9273
152,-1216.34,509,84.83,0,3,39,0,0,0.9268
153,-168.51,1001,166.83,2,3,76,0,0,0.9263
154,-1156.67,767,127.83,0,1,61,2,0,0.9259
155,-119.66,1001,166.83,2,2,75,1,0,0.9254
156,-1233.69,649,108.17,0,3,46,0,0,0.9249
157,-169.26,1001,166.83,2,3,76,0,0,0.9245
158,966.79,701,116.83,1,0,50,3,1,0.924
159,-121.71,1001,166.83,2,2,77,1,0,0.9236
160,-72.71,1001,166.83,3,2,75,1,0,0.9231
161,1041.24,871,145.17,3,0,65,3,1,0.9226
162,-1159.63,508,84.67,0,2,42,1,0,0.9222
163,-181.76,1001,166.83,1,2,75,1,0,0.9217
164,-72.66,1001,166.83,2,1,75,2,0,0.9213
165,-1208.82,802,133.67,0,2,63,1,0,0.9208
166,-17.01,1001,166.83,3,1,78,2,0,0.9203
167,944.36,919,153.17,1,0,68,3,1,0.9199
168,976.79,671,111.83,1,0,48,3,1,0.9194
169,-112.26,1001,166.83,3,3,71,0,0,0.919
170,-122.91,1001,166.83,3,3,76,0,0,0.9185
171,-178.11,1001,166.83,2,3,74,0,0,0.918
172,-176.81,1001,166.83,2,3,77,0,0,0.9176
173,-73.66,1001,166.83,3,2,77,1,0,0.9171
174,-134.46,1001,166.83,3,3,73,0,0,0.9167
175,-218.71,1001,166.83,1,3,77,0,0,0.9162
176,-163.91,1001,166.83,2,3,76,0,0,0.9157
177,-126.51,1001,166.83,2,2,81,1,0,0.9153
178,-138.81,1001,166.83,3,3,74,0,0,0.9148
179,980.41,994,165.67,2,0,70,3,1,0.9144
180,-1168.0,990,165.0,0,1,77,2,0,0.9139
181,-126.56,1001,166.83,3,3,76,0,0,0.9135
182,-36.61,1001,166.83,3,1,77,2,0,0.913
183,-120.81,1001,166.83,3,3,77,0,0,0.9125
184,-64.21,1001,166.83,2,1,75,2,0,0.9121
185,-125.16,1001,166.83,3,3,77,0,0,0.9116
186,-62.56,1001,166.83,3,2,76,1,0,0.9112
187,-114.41,1001,166.83,2,2,75,1,0,0.9107
188,-119.41,1001,166.83,2,2,80,1,0,0.9103
189,-108.26,1001,166.83,2,2,76,1,0,0.9098
190,1059.41,329,54.83,2,0,24,3,1,0.9094
191,-74.26,1001,166.83,2,1,77,2,0,0.9089
192,-224.76,1001,166.83,1,3,75,0,0,0.9084
193,-1271.42,937,156.17,0,3,70,0,0,0.908
194,-23.26,1001,166.83,3,1,72,2,0,0.9075
195,-163.11,1001,166.83,2,3,79,0,0,0.9071
196,-1130.86,706,117.67,0,1,55,2,0,0.9066
197,-117.66,1001,166.83,1,1,77,2,0,0.9062
