episode,total_reward,steps,duration,player_hp,enemy_hp,shots,hits,epsilon
121,-58.78,1001,166.83,2,1,66,2,0.9413
122,-59.59,1001,166.83,3,3,70,0,0.9408
123,74.52,429,71.5,1,0,30,3,0.9403
124,-60.03,1001,166.83,1,2,71,1,0.9399
125,-59.43,1001,166.83,2,3,69,0,0.9394
126,-59.6,1001,166.83,1,3,72,0,0.9389
127,-59.96,1001,166.83,2,2,76,1,0.9385
128,-59.55,1001,166.83,3,2,70,1,0.938
129,85.6,244,40.67,1,0,17,3,0.9375
130,74.7,432,72.0,2,0,29,3,0.9371
131,-58.57,1001,166.83,2,3,69,0,0.9366
132,-60.42,1001,166.83,3,1,75,2,0.9361
133,49.41,850,141.67,3,0,58,3,0.9356
134,-60.14,1001,166.83,1,3,68,0,0.9352
135,80.0,341,56.83,2,0,23,3,0.9347
136,-156.04,951,158.5,0,1,67,2,0.9342
137,71.3,476,79.33,1,0,31,3,0.9338
138,-59.47,1001,166.83,3,2,69,1,0.9333
139,-58.77,1001,166.83,2,2,66,1,0.9328
140,-59.6,1001,166.83,3,2,68,1,0.9324
141,-58.88,1001,166.83,3,3,63,0,0.9319
142,51.95,817,136.17,3,0,58,3,0.9314
143,-129.66,500,83.33,0,3,34,0,0.931
144,-135.04,592,98.67,0,3,40,0,0.9305
145,-138.64,650,108.33,0,3,46,0,0.93
146,-152.88,892,148.67,0,2,63,1,0.9296
147,80.95,328,54.67,2,0,22,3,0.9291
148,-115.65,267,44.5,0,1,17,2,0.9287
149,-59.09,1001,166.83,2,1,66,2,0.9282
150,-145.9,770,128.33,0,3,54,0,0.9277
151,-153.73,907,151.17,0,3,65,0,0.9273
152,49.93,845,140.83,1,0,59,3,0.9268
153,-59.34,1001,166.83,3,3,71,0,0.9263
154,-59.4,1001,166.83,3,3,70,0,0.9259
155,-143.8,736,122.67,0,1,53,2,0.9254
156,-143.32,720,120.0,0,2,45,1,0.9249
157,51.02,832,138.67,1,0,57,3,0.9245
158,50.01,840,140.0,2,0,62,3,0.924
159,-59.23,1001,166.83,3,2,76,1,0.9236
160,72.65,461,76.83,1,0,34,3,0.9231
161,-153.34,910,151.67,0,2,62,1,0.9226
162,-59.53,1001,166.83,3,3,74,0,0.9222
163,66.56,557,92.83,3,0,38,3,0.9217
164,71.33,479,79.83,3,0,32,3,0.9213
165,55.79,748,124.67,2,0,48,3,0.9208
166,-59.95,1001,166.83,3,3,72,0,0.9203
167,-148.37,822,137.0,0,1,55,2,0.9199
168,-59.28,1001,166.83,2,1,72,2,0.9194
169,-118.15,305,50.83,0,3,23,0,0.919
170,49.56,857,142.83,2,0,59,3,0.9185
171,-158.58,986,164.33,0,3,64,0,0.918
172,-58.89,1001,166.83,1,1,70,2,0.9176
173,-147.22,799,133.17,0,3,59,0,0.9171
174,-60.92,1001,166.83,3,3,74,0,0.9167
175,66.7,555,92.5,3,0,40,3,0.9162
176,-148.37,810,135.0,0,1,56,2,0.9157
177,-130.17,508,84.67,0,3,36,0,0.9153
178,-59.26,1001,166.83,2,1,67,2,0.9148
179,-59.73,1001,166.83,1,3,67,0,0.9144
180,-123.77,403,67.17,0,2,29,1,0.9139
181,-59.81,1001,166.83,1,1,67,2,0.9135
182,-59.61,1001,166.83,2,2,65,1,0.913
183,-58.94,1001,166.83,3,3,64,0,0.9125
184,-58.82,1001,166.83,1,2,65,1,0.9121
185,-115.6,257,42.83,0,1,20,2,0.9116
186,-59.61,1001,166.83,3,3,68,0,0.9112
187,-59.42,1001,166.83,3,3,74,0,0.9107
188,-59.52,1001,166.83,2,1,70,2,0.9103
189,-59.49,1001,166.83,1,1,66,2,0.9098
190,-59.3,1001,166.83,1,2,69,1,0.9094
191,-58.95,1001,166.83,3,3,68,0,0.9089
192,-59.95,1001,166.83,1,3,74,0,0.9084
193,-59.33,1001,166.83,2,2,69,1,0.908
194,59.49,687,114.5,1,0,43,3,0.9075
195,-134.11,582,97.0,0,2,42,1,0.9071
196,-59.66,1001,166.83,2,3,67,0,0.9066
197,-59.83,1001,166.83,3,3,70,0,0.9062
198,-59.6,1001,166.83,3,2,74,1,0.9057
199,-59.42,1001,166.83,3,3,67,0,0.9053
200,-58.87,1001,166.83,2,1,63,2,0.9048
201,-59.95,1001,166.83,2,2,67,1,0.9044
202,71.73,475,79.17,3,0,34,3,0.9039
203,-152.99,903,150.5,0,1,64,2,0.9035
204,-59.71,1001,166.83,3,1,71,2,0.903
205,-59.37,1001,166.83,2,3,70,0,0.9026
206,-59.34,1001,166.83,1,1,71,2,0.9021
207,-59.25,1001,166.83,1,3,65,0,0.9017
208,-59.87,1001,166.83,3,3,72,0,0.9012
209,-59.47,1001,166.83,3,3,73,0,0.9008
210,-59.81,1001,166.83,1,1,69,2,0.9003
211,53.12,791,131.83,2,0,56,3,0.8999
212,-59.96,1001,166.83,1,2,69,1,0.8994
213,47.31,887,147.83,3,0,62,3,0.899
214,65.44,579,96.5,3,0,41,3,0.8985
215,-59.15,1001,166.83,3,2,67,1,0.8981
216,-59.11,1001,166.83,2,1,61,2,0.8976
217,-59.36,1001,166.83,3,2,69,1,0.8972
218,-59.59,1001,166.83,3,3,67,0,0.8967
219,-58.85,1001,166.83,2,1,70,2,0.8963
220,-59.05,1001,166.83,2,3,68,0,0.8958
221,-60.02,1001,166.83,3,3,67,0,0.8954
222,43.41,947,157.83,1,0,62,3,0.8949
223,-118.71,321,53.5,0,3,20,0,0.8945
224,65.58,575,95.83,2,0,38,3,0.894
225,-135.09,590,98.33,0,2,41,1,0.8936
226,60.74,665,110.83,3,0,45,3,0.8931
227,-59.6,1001,166.83,1,1,68,2,0.8927
228,-60.01,1001,166.83,1,3,68,0,0.8922
229,-139.85,667,111.17,0,2,46,1,0.8918
230,-59.65,1001,166.83,2,2,65,1,0.8913
231,-60.29,1001,166.83,2,1,66,2,0.8909
232,-61.15,1001,166.83,2,2,68,1,0.8904
233,-59.84,1001,166.83,3,2,66,1,0.89
234,-59.6,1001,166.83,3,2,68,1,0.8896
235,-59.3,1001,166.83,3,1,71,2,0.8891
236,56.39,736,122.67,1,0,51,3,0.8887
237,-59.35,1001,166.83,2,2,67,1,0.8882
238,53.22,788,131.33,1,0,55,3,0.8878
239,-59.06,1001,166.83,3,2,68,1,0.8873
240,-59.31,1001,166.83,2,1,67,2,0.8869
241,-111.53,197,32.83,0,2,15,1,0.8865
242,44.15,920,153.33,1,0,70,3,0.886
243,71.62,474,79.0,2,0,30,3,0.8856
244,-59.58,1001,166.83,3,1,68,2,0.8851
245,76.73,387,64.5,2,0,28,3,0.8847
246,-58.9,1001,166.83,2,3,68,0,0.8842
247,-59.02,1001,166.83,3,1,68,2,0.8838
248,-59.11,1001,166.83,1,1,62,2,0.8834
249,-158.67,971,161.83,0,1,71,2,0.8829
250,-59.74,1001,166.83,2,1,73,2,0.8825
251,-58.93,1001,166.83,3,3,68,0,0.882
252,-59.37,1001,166.83,3,2,69,1,0.8816
253,-59.93,1001,166.83,2,2,74,1,0.8811
254,-59.76,1001,166.83,1,3,72,0,0.8807
255,-59.13,1001,166.83,2,2,69,1,0.8803
256,-59.41,1001,166.83,1,2,69,1,0.8798
257,43.23,954,159.0,1,0,65,3,0.8794
258,-59.4,1001,166.83,1,3,65,0,0.8789
259,-59.53,1001,166.83,1,1,70,2,0.8785
260,-133.63,563,93.83,0,2,38,1,0.8781
261,-60.24,1001,166.83,3,3,71,0,0.8776
262,-59.59,1001,166.83,3,3,64,0,0.8772
263,95.16,83,13.83,2,0,6,3,0.8768
264,-60.11,1001,166.83,1,3,66,0,0.8763
265,-60.03,1001,166.83,3,1,71,2,0.8759
266,48.7,853,142.17,2,0,57,3,0.8754
267,-131.44,527,87.83,0,1,37,2,0.875
268,-59.18,1001,166.83,2,3,69,0,0.8746
269,-59.78,1001,166.83,3,3,67,0,0.8741
270,-60.07,1001,166.83,2,2,65,1,0.8737
271,-160.41,997,166.17,0,1,70,2,0.8732
272,64.05,600,100.0,2,0,42,3,0.8728
273,-59.4,1001,166.83,3,1,68,2,0.8724
274,49.44,852,142.0,3,0,59,3,0.8719
275,-143.15,733,122.17,0,2,47,1,0.8715
276,-59.67,1001,166.83,3,3,71,0,0.8711
277,-59.55,1001,166.83,2,3,69,0,0.8706
278,-59.56,1001,166.83,1,2,67,1,0.8702
279,-59.07,1001,166.83,3,2,67,1,0.8698
280,-59.49,1001,166.83,3,3,68,0,0.8693
281,-142.75,718,119.67,0,2,52,1,0.8689
282,85.05,249,41.5,2,0,20,3,0.8685
283,-59.73,1001,166.83,2,3,66,0,0.868
284,-158.0,975,162.5,0,2,65,1,0.8676
285,-59.71,1001,166.83,1,3,66,0,0.8672
286,-59.13,1001,166.83,2,2,69,1,0.8667
287,-60.19,1001,166.83,3,3,67,0,0.8663
288,55.8,731,121.83,3,0,47,3,0.8659
289,-59.93,1001,166.83,1,1,66,2,0.8654
290,-136.08,599,99.83,0,3,38,0,0.865
291,49.58,848,141.33,2,0,59,3,0.8646
292,-59.41,1001,166.83,2,2,67,1,0.8641
293,-60.37,1001,166.83,3,3,67,0,0.8637
294,-60.07,1001,166.83,2,3,65,0,0.8633
295,47.05,887,147.83,2,0,62,3,0.8628
296,46.31,896,149.33,1,0,59,3,0.8624
297,-59.14,1001,166.83,3,3,66,0,0.862
298,-60.05,1001,166.83,2,3,68,0,0.8615
299,-60.04,1001,166.83,1,2,72,1,0.8611
300,-59.87,1001,166.83,3,3,66,0,0.8607
301,42.76,960,160.0,1,0,65,3,0.8602
302,-125.83,425,70.83,0,2,29,1,0.8598
303,-59.27,1001,166.83,3,3,75,0,0.8594
304,71.28,487,81.17,2,0,33,3,0.859
305,-58.71,1001,166.83,2,3,63,0,0.8585
306,-58.97,1001,166.83,2,3,70,0,0.8581
307,-59.31,1001,166.83,1,1,68,2,0.8577
308,-130.64,506,84.33,0,2,36,1,0.8572
309,-108.27,141,23.5,0,3,8,0,0.8568
310,-137.73,630,105.0,0,1,42,2,0.8564
311,-58.86,1001,166.83,1,2,68,1,0.856
312,-60.23,1001,166.83,3,2,67,1,0.8555
313,-59.94,1001,166.83,2,2,67,1,0.8551
314,-59.31,1001,166.83,1,3,72,0,0.8547
315,-59.38,1001,166.83,1,1,71,2,0.8542
316,-59.81,1001,166.83,3,3,65,0,0.8538
317,-59.45,1001,166.83,1,1,72,2,0.8534
318,-59.86,1001,166.83,2,1,73,2,0.853
319,-59.57,1001,166.83,3,2,64,1,0.8525
320,-59.39,1001,166.83,3,2,65,1,0.8521
321,-129.51,500,83.33,0,1,31,2,0.8517
322,-59.63,1001,166.83,3,1,64,2,0.8513
323,-59.83,1001,166.83,2,2,69,1,0.8508
324,53.1,789,131.5,1,0,58,3,0.8504
325,-59.86,1001,166.83,3,3,70,0,0.85
326,83.04,285,47.5,3,0,20,3,0.8496
327,77.36,379,63.17,3,0,26,3,0.8491
328,-59.15,1001,166.83,3,1,64,2,0.8487
329,-60.01,1001,166.83,3,3,63,0,0.8483
330,54.51,768,128.0,2,0,53,3,0.8479
331,-125.32,423,70.5,0,2,28,1,0.8474
332,70.77,479,79.83,3,0,36,3,0.847
333,-59.91,1001,166.83,3,1,69,2,0.8466
334,-59.45,1001,166.83,1,1,69,2,0.8462
335,-59.71,1001,166.83,1,1,66,2,0.8457
336,-150.6,834,139.0,0,1,58,2,0.8453
337,-59.69,1001,166.83,3,3,70,0,0.8449
338,66.93,556,92.67,3,0,37,3,0.8445
339,-59.3,1001,166.83,2,2,67,1,0.8441
340,-59.3,1001,166.83,3,3,68,0,0.8436
341,-60.45,1001,166.83,2,1,73,2,0.8432
342,-59.0,1001,166.83,3,3,66,0,0.8428
343,-60.41,1001,166.83,2,3,69,0,0.8424
344,-60.54,1001,166.83,3,3,65,0,0.8419
345,52.94,790,131.67,2,0,49,3,0.8415
346,89.46,177,29.5,2,0,12,3,0.8411
347,-59.42,1001,166.83,2,2,67,1,0.8407
348,-59.91,1001,166.83,1,2,72,1,0.8403
349,53.1,780,130.0,1,0,54,3,0.8398
350,-59.56,1001,166.83,3,1,72,2,0.8394
351,-59.87,1001,166.83,1,1,61,2,0.839
352,62.13,640,106.67,2,0,46,3,0.8386
353,83.75,277,46.17,3,0,20,3,0.8382
354,-59.77,1001,166.83,2,3,74,0,0.8377
355,-60.99,1001,166.83,2,3,71,0,0.8373
356,-59.15,1001,166.83,3,3,64,0,0.8369
357,-59.83,1001,166.83,2,3,68,0,0.8365
358,-158.77,998,166.33,0,1,65,2,0.8361
359,-59.3,1001,166.83,2,1,67,2,0.8357
360,-59.7,1001,166.83,3,2,66,1,0.8352
361,-59.01,1001,166.83,2,3,66,0,0.8348
362,-60.07,1001,166.83,3,3,67,0,0.8344
363,-119.86,333,55.5,0,2,24,1,0.834
364,-59.65,1001,166.83,3,3,65,0,0.8336
365,57.17,717,119.5,3,0,49,3,0.8331
366,-60.18,1001,166.83,2,3,72,0,0.8327
367,-60.77,1001,166.83,1,1,62,2,0.8323
368,-59.57,1001,166.83,2,2,63,1,0.8319
369,-59.72,1001,166.83,2,2,68,1,0.8315
370,-142.24,712,118.67,0,2,49,1,0.8311
371,-59.61,1001,166.83,2,3,64,0,0.8307
372,46.75,895,149.17,3,0,63,3,0.8302
373,-150.54,851,141.83,0,2,58,1,0.8298
374,-59.18,1001,166.83,2,3,67,0,0.8294
375,-59.62,1001,166.83,1,2,70,1,0.829
376,55.22,742,123.67,2,0,52,3,0.8286
377,-58.88,1001,166.83,1,3,69,0,0.8282
378,-59.4,1001,166.83,2,3,66,0,0.8277
379,-59.37,1001,166.83,3,2,63,1,0.8273
380,-58.82,1001,166.83,1,2,61,1,0.8269
381,-60.16,1001,166.83,2,1,66,2,0.8265
382,-60.17,1001,166.83,2,3,67,0,0.8261
383,-59.42,1001,166.83,1,2,59,1,0.8257
